Course_Title,Degree_Level,Start_Date,Course_Links
Accounting and Finance BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/accounting-and-finance-bsc/september-2024
Accounting and Finance MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/accounting-and-finance-msc/september-2024
Additive Manufacturing Technologies,Professional courses/CPD,May-23,https://www.aston.ac.uk/study/courses/additive-manufacturing-technologies/may-2023
Adult Rehabilitation,Standalone module,Jan-24,https://www.aston.ac.uk/study/courses/adult-rehabilitation-standalone-module/january-2024
Advanced Clinical Practice in Ocular Health MSc,Postgraduate MA/MSc courses,Oct-24,https://www.aston.ac.uk/study/courses/advanced-clinical-practice-ocular-health-msc/october-2024
Advanced Dental Implantology MSc,Postgraduate MA/MSc courses,Oct-24,https://www.aston.ac.uk/study/courses/advanced-dental-implantology-msc/october-2024
Advanced Health Assessment PgCert,Professional courses/CPD,Oct-24,https://www.aston.ac.uk/study/courses/advanced-health-assessment-pgcert/october-2024
Advanced Hearing Therapy Practice MSc,Postgraduate MA/MSc courses,Oct-24,https://www.aston.ac.uk/study/courses/advanced-hearing-therapy-practice-msc/october-2024
Ageing Eye Management,,Oct-23,https://www.aston.ac.uk/study/courses/ageing-eye-management/october-2023
Applied Artificial Intelligence (including Professional Practice) MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/applied-artificial-intelligence-including-professional-practice-msc/september-2024
Applied Artificial Intelligence MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/applied-artificial-intelligence-msc/september-2024
Applied Chemistry BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/applied-chemistry-bsc/september-2024
Applied Psychology (Singapore) MSc,,Sep-24,https://www.aston.ac.uk/study/courses/applied-psychology-singapore-msc/september-2024
April Year Abroad,,NA,https://www.aston.ac.uk/study/courses/april-year-abroad/january-1970
Artificial Intelligence (including Professional Practice) MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/artificial-intelligence-including-professional-practice-msc/september-2024
Artificial Intelligence MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/artificial-intelligence-msc/september-2024
Artificial Intelligence MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/artificial-intelligence-msc/january-2024
Artificial Intelligence with Business Strategy (including Professional Practice) MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/artificial-intelligence-business-strategy-including-professional-practice-msc
Artificial Intelligence with Business Strategy MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/artificial-intelligence-business-strategy-msc/september-2024
Artificial Intelligence with Business Strategy MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/artificial-intelligence-business-strategy-msc/january-2024
Aston Executive Leadership Degree Apprenticeship PgDip,Degree apprenticeships,Apr-24,https://www.aston.ac.uk/study/courses/aston-executive-leadership-degree-apprenticeship-pgdip/april-2024
Biochemistry BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/biochemistry-bsc/september-2024
Biological Sciences BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/biological-sciences-bsc
Biomedical Engineering MEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/H541
Biomedical Engineering BEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/biomedical-engineering-beng/september-2024
Biomedical Science BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/biomedical-science-bsc/september-2024
Biomedical Sciences top,up modules,Sep-23,https://www.aston.ac.uk/study/courses/biomedical-sciences-top-modules
Biosciences MRes,Research degrees/PhD,Sep-24,https://www.aston.ac.uk/study/courses/biosciences-mres/september-2024
Building Information Modelling (BIM) Specialist,Professional courses/CPD,May-24,https://www.aston.ac.uk/study/courses/building-information-modelling-bim-specialist/may-2024
Business Analytics BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/business-analytics-bsc/september-2024
Business Analytics MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/business-analytics-msc/january-2024
Business Analytics MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/business-analytics-msc/september-2024
Business and International Relations BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/business-and-international-relations-bsc
Business and Management BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/business-and-management-bsc/september-2024
Business and Management MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/business-and-management-msc/january-2024
Business and Management MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/business-and-management-msc/september-2024
Business and Politics BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/clone-business-and-politics-bsc
Business and Sociology BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/business-and-sociology-bsc/september-2024
Business and Supply Chain Management BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/business-and-supply-chain-management-bsc/september-2024
Business Computing and IT BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/business-computing-and-it-bsc/september-2024
Business Enterprise Development BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/business-enterprise-development-bsc/september-2024
Business Enterprise Development MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/business-enterprise-development-msc/september-2024
Business Management and English Language BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/business-management-and-english-language-bsc
Business Management and Social Policy BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/business-management-and-social-policy-bsc
Business Psychology MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/business-psychology-msc/september-2024
Cell Biology,Standalone module,Sep-23,https://www.aston.ac.uk/study/courses/cell-biology-standalone-module/september-2023
Cellular Pathology,Standalone module,Sep-23,https://www.aston.ac.uk/study/courses/cellular-pathology-standalone-module/september-2023
Chartered Manager Degree Apprenticeship BSc (Hons),Degree apprenticeships,Jan-24,https://www.aston.ac.uk/study/courses/chartered-manager-degree-apprenticeship-bsc/january-2024
Chemical Engineering BEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/chemical-engineering-beng/september-2024
Chemical Engineering MEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/chemical-engineering-meng/september-2024
Chemistry BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/chemistry-bsc/september-2024
Civil Engineering BEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/civil-engineering-beng
Civil Engineering MEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/civil-engineering-meng/september-2024
Civil Infrastructure Engineering (including Professional Practice) MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/civil-infrastructure-engineering-including-professional-practice-msc/september-2024
Civil Infrastructure Engineering MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/civil-infrastructure-engineering-msc/september-2024
Clinical Biochemistry,Standalone module,Sep-23,https://www.aston.ac.uk/study/courses/clinical-biochemistry-standalone-module/september-2023
Clinical Neurophysiology Practice MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/clinical-neurophysiology-practice-msc/september-2024
Clinical Science (Neurosensory Sciences) MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/clinical-science-neurosensory-sciences-msc/september-2024
Clinically Enhanced Independent Prescribing PgCert,,Sep-23,https://www.aston.ac.uk/study/courses/clinically-enhanced-independent-prescribing-pgcert/september-2023
Clinically Enhanced Independent Prescribing PgCert,Postgraduate MA/MSc courses,Mar-24,https://www.aston.ac.uk/study/courses/clinically-enhanced-independent-prescribing-pgcert/march-2024
Clinically Enhanced Prescribing in Acute and Emergency Medicine – Standalone module,Postgraduate MA/MSc courses,Mar-24,https://www.aston.ac.uk/study/courses/clinically-enhanced-prescribing-acute-and-emergency-medicine-standalone-module/march
Computer Science BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/computer-science-bsc/september-2024
Computer Science (including Professional Practice) MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/computer-science-including-professional-practice-msc/september-2024
Computer Science MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/computer-science-msc/september-2024
Construction Management and Engineering (including Professional Practice) MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/construction-management-and-engineering-including-professional-practice-msc/september
Construction Management and Engineering MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/construction-management-and-engineering-msc/september-2024
Construction Project Management BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/construction-project-management-bsc/september-2024
Corporate Finance MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/corporate-finance-msc/september-2024
Counselling Psychology (Singapore) MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/counselling-psychology-singapore-msc/september-2024
Crisis and Disaster Management MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/crisis-and-disaster-management-msc/september-2024
Cybersecurity BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/cybersecurity-bsc/september-2024
Data Analytics MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/data-analytics-msc/january-2024
Data Science (including Professional Practice) MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/data-science-including-professional-practice-msc/september-2024
Data Science MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/data-science-msc/september-2024
Design Engineering BEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/design-engineering-beng
Design Enterprise and Innovation MSci,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/design-enterprise-and-innovation-msci/september-2024
Digital & Technology Solutions Specialist Degree Apprenticeship MSc,Degree apprenticeships,Sep-24,https://www.aston.ac.uk/study/courses/digital-technology-solutions-specialist-degree-apprenticeship-msc/september-2024
Digital and Technology Solutions Degree Apprenticeship BSc (Hons),Degree apprenticeships,Nov-23,https://www.aston.ac.uk/study/courses/digital-and-technology-solutions-degree-apprenticeship-bsc/november-2023
Digital Marketing Degree Apprenticeship BSc (Hons),Degree apprenticeships,Jan-24,https://www.aston.ac.uk/study/courses/digital-marketing-degree-apprenticeship-bsc/january-2024
Doctor of Optometry / Doctor of Ophthalmic Science DOptom/DOphSc,Research degrees/PhD,Mar-24,https://www.aston.ac.uk/study/courses/doctor-optometry-doctor-ophthalmic-science-doptomdophsc/march-2024
Drug Delivery MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/drug-delivery-msc/september-2024
Economics BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/economics-bsc
Economics and Management BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/economics-and-management-bsc
Economics and Politics BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/economics-and-politics-bsc/september-2024
Economics MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/economics-msc/september-2024
EEG in Practice,Professional courses/CPD,Sep-23,https://www.aston.ac.uk/study/courses/eeg-practice/september-2023
Electrical and Electronic Engineering BEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/electrical-and-electronic-engineering-beng/september-2024
Electrical and Electronic Engineering MEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/electrical-and-electronic-engineering-meng/september-2024
Electrical Power Engineering FdEng,Work,Oct-23,https://www.aston.ac.uk/study/courses/electrical-power-engineering-fdeng/october-2023
Electronic Engineering and Computer Science BEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/electronic-engineering-and-computer-science-beng/september-2024
Electronic Engineering and Computer Science MEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/electronic-engineering-and-computer-science-meng/september-2024
Engineering Leadership & Management Degree Apprenticeship PgDip,Degree apprenticeships,Nov-23,https://www.aston.ac.uk/study/courses/engineering-leadership-management-degree-apprenticeship-pgdip/november-2023
Engineering Management MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/engineering-management-msc/january-2024
Engineering Management MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/engineering-management-msc/september-2024
Engineering Postgraduate Diploma Degree Apprenticeship PgDip,Degree apprenticeships,Oct-24,https://www.aston.ac.uk/study/courses/engineering-postgraduate-diploma-degree-apprenticeship-pgdip/october-2024
English and Sociology BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/english-and-sociology-bsc
English Language BA (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/english-language-ba/september-2024
English Language and Literature BA (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/english-language-and-literature-ba/september-2024
English MA,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/english-ma/september-2024
English MA (Distance Learning),"Postgraduate MA/MSc courses, Online courses",Sep-24,https://www.aston.ac.uk/study/courses/english-ma-distance-learning/september-2024
Entrepreneurship MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/entrepreneurship-msc/september-2024
Executive Doctor of Business Administration (DBA),delivered in Singapore,Sep-24,https://www.aston.ac.uk/study/courses/executive-doctor-business-administration-dba-singapore
Executive Doctor of Business Administration (DBA) Online,"Research degrees/PhD, Online courses",Apr-24,https://www.aston.ac.uk/study/courses/executive-doctor-business-administration-dba-online/april-2024
Executive Doctor of Business Administration (DBA) Online,"Research degrees/PhD, Online courses",Sep-24,https://www.aston.ac.uk/study/courses/executive-doctor-business-administration-dba-online/september-2024
Executive MBA,MBA,Sep-24,https://www.aston.ac.uk/study/courses/executive-mba/september-2024
Executive MBA,MBA,Apr-24,https://www.aston.ac.uk/study/courses/executive-mba/april-2024
Finance BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/finance-bsc/september-2024
Finance and Economics MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/finance-and-economics-msc/september-2024
Finance MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/finance-msc/september-2024
Financial Management MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/financial-management-msc/september-2024
Financial Technology MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/financial-technology-msc/september-2024
Forensic Linguistics MA,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/forensic-linguistics-ma/september-2024
Forensic Linguistics MA (Distance Learning),"Postgraduate MA/MSc courses, Online courses",Sep-24,https://www.aston.ac.uk/study/courses/forensic-linguistics-ma-distance-learning/september-2024
Foundation Degree Hearing Aid Audiology FDSc,,Sep-24,https://www.aston.ac.uk/study/courses/foundation-degree-hearing-aid-audiology-fdsc/september-2024
Foundation Programme in Business and Social Science BSc (Hons),Foundation programmes,Sep-24,https://www.aston.ac.uk/study/courses/foundation-programme-business-and-social-science-bsc/september-2024
Foundation Programme in Engineering and Applied Science,Foundation programmes,Sep-24,https://www.aston.ac.uk/study/courses/foundation-programme-engineering-and-applied-science/september-2024
Future Vehicle Technologies (including Professional Practice) MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/future-vehicle-technologies-including-professional-practice-msc/september-2024
Future Vehicle Technologies MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/future-vehicle-technologies-msc/september-2024
General Ocular Therapeutics,Standalone module,Oct-23,https://www.aston.ac.uk/study/courses/general-ocular-therapeutics-standalone-module/october-2023
Glaucoma,Professional Certificate,Mar-24,https://www.aston.ac.uk/study/courses/glaucoma-professional-certificate/march-2024
Glaucoma,Standalone module,Mar-24,https://www.aston.ac.uk/study/courses/glaucoma-standalone-module/march-2024
Graduate Diploma in Optometry,Undergraduate degrees,Sep-23,https://www.aston.ac.uk/study/courses/graduate-diploma-in-optometry
Haematology and Transfusion Science,Standalone module,Sep-23,https://www.aston.ac.uk/study/courses/haematology-and-transfusion-science-standalone-module/september-2023
Health and Patient Psychology,,Oct-23,https://www.aston.ac.uk/study/courses/health-and-patient-psychology/october-2023
Health Psychology MSc (on,campus) MSc,Sep-24,https://www.aston.ac.uk/study/courses/health-psychology-msc-campus/september-2024
Health Psychology MSc (online) MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/health-psychology-msc-online/september-2024
