Course_Title,Degree_Level,Duration,Attendance_Mode,Start_Date,Course_Link
Accounting and Finance BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/accounting-and-finance-bsc/?att=ft
Accounting and Finance (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/accounting-and-finance-bsc/
Advanced Biomedical Engineering MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/advanced-biomedical-engineering/
Advanced Cardiac Care Module (Part-time),CPD Module,6 months,Part-time,June,https://www.bradford.ac.uk/courses/cpd/advanced-cardiac-care/
Advanced Chemical and Petroleum Engineering MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/advanced-chemical-and-petroleum-engineering/
Advanced Civil and Structural Engineering MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/advanced-civil-and-structural-engineering/
Advanced Clinical Practice (Radiography) MSc (Part-time),Postgraduate,3 years,Part-time,January,https://www.bradford.ac.uk/courses/pg/advanced-clinical-practice-radiography/
Advanced Clinical Practitioner MSc (Part-time),Postgraduate,2 years,Part-time,"January, September",https://www.bradford.ac.uk/courses/pg/advanced-practice-clinical-practitioner/
Advanced Clinical Practitioner Apprenticeship MSc (Part-time),Postgraduate,3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/apprenticeships/advanced-clinical-practice-apprenticeship/
Advanced Communication Skills Module (Part-time),CPD Module,1 month,Part-time,"February, April",https://www.bradford.ac.uk/courses/cpd/advanced-communication-skills/
Advanced Dementia Studies (Distance Learning) MSc (Part-time),Postgraduate,3 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/advanced-dementia-studies/
Advanced Dementia Studies (Distance Learning) PG Diploma (Part-time),Postgraduate,Up to 3 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/advanced-dementia-studies/
Advanced Dementia Studies (Distance Learning) PG Certificate (Part-time),Postgraduate,Up to 3 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/advanced-dementia-studies/
Advanced Knowledge and Skills for the Management of the Critically Ill Adult Module (Part-time),CPD Module,3 months,Part-time,September,https://www.bradford.ac.uk/courses/cpd/management-of-the-critically-ill-adult/
Advanced Mechanical Engineering MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/advanced-mechanical-engineering/
Advanced Pharmacy Practice MSc (Part-time),Postgraduate,2-3 years,Part-time,"January, September",https://www.bradford.ac.uk/courses/pg/advanced-pharmacy-practice/
Advanced Pharmacy Practice PG Diploma (Part-time),Postgraduate,2 - 3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/advanced-pharmacy-practice/
Advanced Practice in Peacebuilding and Conflict Resolution MA,Postgraduate,Sept - 1 year or 15 months with internship / placement Jan - 15 months (18 months with placement),Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/peacebuilding-and-conflict-resolution/
Advanced Practice in Peacebuilding and Conflict Resolution MA (Part-time),Postgraduate,2 years or 27 months with internship / placement,Part-time,"January, September",https://www.bradford.ac.uk/courses/pg/peacebuilding-and-conflict-resolution/
Advanced Respiratory Care/Practice Module (Part-time),CPD Module,6 months,Part-time,January,https://www.bradford.ac.uk/courses/cpd/advanced-respiratory-care-practice/
Analytical Sciences MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/analytical-sciences/
Analytical Sciences MSc (Part-time),Postgraduate,2 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/analytical-sciences/
Animation BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/animation-bsc/?att=ft
Animation (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/animation-bsc/
Applied Artificial Intelligence BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/applied-artificial-intelligence-bsc/
Applied Artificial Intelligence and Data Analytics MSc,Postgraduate,"1 year, plus an optional 3-month industry placement",Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/applied-artificial-intelligence-and-data-analytics/
Applied Artificial Intelligence and Data Analytics MSc (Part-time),Postgraduate,"2 years, plus an optional 3-month industry placement",Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/applied-artificial-intelligence-and-data-analytics/
Applied Computer Science and Artificial Intelligence MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/applied-computer-science-artificial-intelligence/
Applied Computer Science and Artificial Intelligence MSc (Part-time),Postgraduate,2 years,Part-time,"January, September",https://www.bradford.ac.uk/courses/pg/applied-computer-science-artificial-intelligence/
Applied Pathophysiology and Pharmacology in Acute and Long Term Conditions Module (Part-time),CPD Module,4 months,Part-time,September,https://www.bradford.ac.uk/courses/cpd/applied-pathophysiology-and-pharmacology/
Archaeological Sciences MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/archaeological-sciences/
Archaeological Sciences MSc (Part-time),Postgraduate,2 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/archaeological-sciences/
Archaeology BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/archaeology-bsc/?att=ft
Archaeology (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/archaeology-bsc/
Architectural Engineering MEng,Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/architectural-engineering-meng/?att=ft
Architectural Engineering BEng (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/architectural-engineering-beng/?att=ft
Architectural Engineering (with placement year) MEng,Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/architectural-engineering-meng/
Architectural Engineering (with placement year) BEng (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/architectural-engineering-beng/
Architectural Technology BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/architectural-technology-bsc/?att=ft
Architectural Technology (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/architectural-technology-bsc/
Artificial Intelligence and Machine Learning MSc,Postgraduate,1 year,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/artificial-intelligence-machine-learning/
Artificial Intelligence and Machine Learning MSc (Part-time),Postgraduate,2 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/artificial-intelligence-machine-learning/
Automotive Systems Engineering MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/automotive-systems-engineering/
Big Data Science and Technology MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/big-data-science-and-technology/
Big Data Science and Technology MSc (Part-time),Postgraduate,2 years,Part-time,"January, September",https://www.bradford.ac.uk/courses/pg/big-data-science-and-technology/
Bioinformatics MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/bioinformatics/
Biological and Medicinal Chemistry MChem,Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/chemistry-medicinal-mchem/
Biomedical Engineering BEng (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/biomedical-engineering-beng/?att=ft
Biomedical Engineering MEng,Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/biomedical-engineering-meng/?att=ft
Biomedical Engineering (with placement year) BEng (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/biomedical-engineering-beng/
Biomedical Engineering (with placement year) MEng,Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/biomedical-engineering-meng/
Biomedical Engineering with Integrated Engineering Foundation Year BEng (Hons),Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/biomedical-engineering-with-integrated-foundation/?att=ft
Biomedical Engineering with Integrated Engineering Foundation Year and Placement Year BEng (Hons),Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/biomedical-engineering-with-integrated-foundation/
Biomedical Science BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/biomedical-science-bsc/
Business and Management BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/business-and-management-bsc/?att=ft
Business and Management (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/business-and-management-bsc/
Business Studies and Law BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/business-studies-and-law-bsc/?att=ft
Business Studies and Law (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/business-studies-and-law-bsc/
"Cancer - Understanding Treatment, Management and Care Module (Part-time)",CPD Module,3 months,Part-time,October,https://www.bradford.ac.uk/courses/cpd/cancer-understanding-treatment-management-and-care/
Cancer Drug Discovery MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/cancer-drug-discovery/
Cancer Pharmacology MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/cancer-pharmacology/
Chemical Engineering BEng (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/chemical-engineering-beng/?att=ft
Chemical Engineering MEng,Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/chemical-engineering-meng/?att=ft
Chemical Engineering (with Integrated Engineering Foundation Year and Placement Year) BEng (Hons),Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/chemical-engineering-with-integrated-foundation/
Chemical Engineering (with Integrated Engineering Foundation Year) BEng (Hons),Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/chemical-engineering-with-integrated-foundation/?att=ft
Chemical Engineering (with placement year) BEng (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/chemical-engineering-beng/
Chemical Engineering (with placement year) MEng,Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/chemical-engineering-meng/
Chemistry BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/chemistry-bsc/?att=ft
Chemistry MChem,Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/chemistry-mchem/
Chemistry (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/chemistry-bsc/
Chemistry Apprenticeship BSc (Hons) (Part-time),Undergraduate,Up to 4 years,Part-time,September,https://www.bradford.ac.uk/courses/apprenticeships/chemistry-apprenticeship/
Civil and Structural Engineering MEng,Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/civil-and-structural-engineering-meng/?att=ft
Civil and Structural Engineering BEng (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/civil-and-structural-engineering-beng/?att=ft
Civil and Structural Engineering (with Integrated Engineering Foundation Year and Placement Year) BEng (Hons),Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/civil-and-structural-engineering-with-integrated-foundation/
Civil and Structural Engineering (with Integrated Engineering Foundation Year) BEng (Hons),Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/civil-and-structural-engineering-with-integrated-foundation/?att=ft
Civil and Structural Engineering (with placement year) BEng (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/civil-and-structural-engineering-beng/
Civil and Structural Engineering (with placement year) MEng,Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/civil-and-structural-engineering-meng/
Clinical Competence in Advanced Practice Module (Part-time),CPD Module,4 months,Part-time,January,https://www.bradford.ac.uk/courses/cpd/clinical-competence-in-advanced-practice/
Clinical Sciences BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/clinical-sciences-bsc/?att=ft
Clinical Sciences (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/clinical-sciences-bsc/
Clinical Technology BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/clinical-technology-bsc/?att=ft
Clinical Technology (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/clinical-technology-bsc/
Computer Science BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/computer-science-bsc/?att=ft
Computer Science (with Integrated Foundation Year and Placement Year) BSc (Hons),Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/computer-science-with-integrated-foundation/
Computer Science (with Integrated Foundation Year) BSc (Hons),Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/computer-science-with-integrated-foundation/?att=ft
Computer Science (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/computer-science-bsc/
Computer Science for Cyber Security BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/computer-science-for-cyber-security-bsc/?att=ft
Computer Science for Cyber Security (with Integrated Foundation Year and Placement Year) BSc (Hons),Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/computer-science-cyber-security-with-integrated-foundation/
Computer Science for Cyber Security (with Integrated Foundation Year) BSc (Hons),Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/computer-science-cyber-security-with-integrated-foundation/?att=ft
Computer Science for Cyber Security (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/computer-science-for-cyber-security-bsc/
Construction and Project Management MSc,Postgraduate,1 year,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/construction-and-project-management/
Construction and Project Management PG Diploma,Postgraduate,1 year,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/construction-and-project-management/
Construction and Project Management PG Certificate,Postgraduate,1 year,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/construction-and-project-management/
Continence for Physiotherapists PG Certificate (Part-time),Postgraduate,Up to 5 years,Part-time,,https://www.bradford.ac.uk/courses/pg/rehabilitation-studies-continence-for-physiotherapists/
Continence for Physiotherapists PG Diploma (Part-time),Postgraduate,Up to 3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/rehabilitation-studies-continence-for-physiotherapists/
Continence for Physiotherapists PG Certificate (Part-time),Postgraduate,Up to 3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/rehabilitation-studies-continence-for-physiotherapists/
Continence Practice for Physiotherapists Module (Part-time),CPD Module,4 months,Part-time,June,https://www.bradford.ac.uk/courses/cpd/continence-practice-for-physiotherapists/
Continence Theory for Physiotherapists Module (Part-time),CPD Module,4 months,Part-time,January,https://www.bradford.ac.uk/courses/cpd/continence-theory-for-physiotherapists/
Criminology and Criminal Behaviour BA (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/criminology-criminal-behaviour-ba/
Critical Care CCE / PG Certificate (Part-time),CPD Module,1 year,Part-time,"September, January",https://www.bradford.ac.uk/courses/cpd/critical-care-cce/
Cyber Security MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/cyber-security/
Cyber Security MSc (Part-time),Postgraduate,2 years,Part-time,"January, September",https://www.bradford.ac.uk/courses/pg/cyber-security/
Diagnostic Hysteroscopy and Therapeutic Management PG Certificate (Part-time),Postgraduate,Up to 5 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/diagnostic-hysteroscopy-and-therapeutic-management/
Diagnostic Radiography BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/diagnostic-radiography-bsc/
Digital and Strategic Marketing MSc,Postgraduate,September start - 12 months January start - 15 months,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/digital-and-strategic-marketing/
Digital and Strategic Marketing MSc (Part-time),Postgraduate,September start - 24 months January start - 27 months,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/digital-and-strategic-marketing/
Digital Civil Engineering MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/digital-civil-engineering/
Digital Civil Engineering MSc (Part-time),Postgraduate,3 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/digital-civil-engineering/
Doctor of Business Administration (DBA) (Bradford) DBA (Part-time),Postgraduate,4 - 7 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/dba/
Doctor of Business Administration (DBA) (Oman) Doctorate (Part-time),Postgraduate,4 - 7 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/dba-oman/
Doctorate in Medicine MD,Postgraduate,2 years,Full-time,September,https://www.bradford.ac.uk/courses/pg/doctorate-medicine/
Doctorate in Medicine MD (Part-time),Postgraduate,Up to 4 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/doctorate-medicine/
Drug Toxicology and Safety Pharmacology MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/drug-toxicology-and-safety-pharmacology/
Economics BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/economics-bsc/?att=ft
Economics (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/economics-bsc/
Economics and Finance for Development MSc,Postgraduate,1 year or 15 months with internship / placement,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/economics-and-finance-for-development/
Economics and Finance for Development MSc (Part-time),Postgraduate,2 years or 27 months with internship / placement,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/economics-and-finance-for-development/
Engineering Foundation Year,Undergraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/ug/engineering-foundation/
Engineering Management MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/engineering-management/
Enhanced Clinical Practitioner (Part-time),Postgraduate,1 year,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/enhanced-clinical-practitioner/
Enhanced Maternal Care Module (Part-time),CPD Module,1 year,Part-time,October,https://www.bradford.ac.uk/courses/cpd/enhanced-maternal-care/
Enhanced Paediatric Nursing Skills (EPNS) Module (Part-time),CPD Module,4 months,Part-time,April,https://www.bradford.ac.uk/courses/cpd/enhanced-paediatric-nursing-skills/
Enhanced Practice (Radiography) PG Diploma (Part-time),Postgraduate,Postgraduate Certificate,Part-time,January,https://www.bradford.ac.uk/courses/pg/enhanced-practice-radiography/
Enhanced Practice (Radiography) PG Certificate (Part-time),Postgraduate,Postgraduate Certificate,Part-time,January,https://www.bradford.ac.uk/courses/pg/enhanced-practice-radiography/
Entrepreneurship in Practice MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/entrepreneurship-in-practice/
Entrepreneurship in Practice MSc (Part-time),Postgraduate,2 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/entrepreneurship-in-practice/
European and International Business Management MSc,Postgraduate,13 - 16 months,Full-time,September,https://www.bradford.ac.uk/courses/pg/european-international-business-management/
Evaluating Dementia Practice Module (Part-time),CPD Module,4 months,Part-time,January,https://www.bradford.ac.uk/courses/cpd/evaluating-dementia-practice/
Evidence Based Diabetes Care Module (Part-time),CPD Module,4 months,Part-time,February,https://www.bradford.ac.uk/courses/cpd/evidence-based-diabetes-care/
Evidence-based Dementia Practice Module (Part-time),CPD Module,4 months,Part-time,September,https://www.bradford.ac.uk/courses/cpd/evidence-based-dementia-practice/
Film and Television Production BA (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/film-and-television-production-ba/?att=ft
