Course_Title,Degree_Type,Attendance_Mode,Start_Date,Course_Link
Economics and Politics,NA,Full-time,"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/economics-and-politics
Economics and Sociology,BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/economics-and-sociology
Economics and Spanish,NA,Full-time,"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/economics-and-spanish
Education BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/education
"Education MA, PGDip, PGCert",PGCert,"Part-time - MA, Part-time - PGDip, Part-time - PGCert","Jan 2024, Sep 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/education
"Education (Creative Practices) MA, PGDip",PGDip,"Part-time - MA, Part-time - PGDip","Jan 2024, Sep 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/education-creative-practices
"Education (Early Childhood) MA, PGDip",PGDip,"Part-time - MA, Part-time - PGDip","Jan 2024, Sep 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/education-early-childhood
"Education (Mathematics Education) MA, PGDip",PGDip,"Part-time - MA, Part-time - PGDip","Jan 2024, Sep 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/education-mathematics-education
"Education (Teaching & Learning) MA, PGDip",PGDip,"Part-time - MA, Part-time - PGDip","Jan 2024, Sep 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/education-teaching-learning
"Education, Society and Globalisation MA",MA,Full-time - MA,Oct 2024,https://www1.chester.ac.uk/study/postgraduate/education-society-and-globalisation
"Educational Leadership MA, PGDip, PGCert",PGCert,"Full-time - MA, Part-time - MA, Full-time - PGDip, Part-time - PGDip, Part-time - PGCert","Jan 2024, Oct 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/educational-leadership
Electronic and Electrical Engineering MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, Oct 2024, Feb 2025",https://www1.chester.ac.uk/study/postgraduate/electronic-and-electrical-engineering
Endodontology MSc,MSc,Part-time - MSc,Oct 2024,https://www1.chester.ac.uk/study/postgraduate/endodontology
Engineering Management MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, May 2024, Oct 2024, Feb 2025, May 2025",https://www1.chester.ac.uk/study/postgraduate/engineering-management
English (MRes) MRes,MRes,"Full-time - MRes, Part-time - MRes",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/english-mres
English Language BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-language
English Language (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-language-combined
English Language and Creative Writing,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-language-and-creative-writing
English Language and History,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-language-and-history
English Language and Journalism,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-language-and-journalism
English Language and Linguistics MA,MA,"Full-time - MA, Part-time - MA",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/english-language-and-linguistics
English Language and Literature BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-language-and-literature
English Language and Sociology,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-language-and-sociology
English Literature BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-literature
English Literature (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-literature-combined
English Literature and French,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-literature-and-french
English Literature and History,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-literature-and-history
English Literature and Psychology,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-literature-and-psychology
English Literature and Sociology,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/english-literature-and-sociology
Events Management BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Full-time with Placement Year - BA (Hons), Part-time - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/events-management
Events Management (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Placement Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/events-management-combined
Events Management and International Tourism Management BA (Hons),"BA (Hons)
BA (Hons)","Full-time - BA (Hons), Part-time - BA (Hons), BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/events-management-and-international-tourism-management
Events Management and Marketing Management,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/events-management-chester-and-marketing-management
Events Management and Marketing Management BA (Hons),"BA (Hons)
BA (Hons)","Full-time - BA (Hons), Part-time - BA (Hons), BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/events-management-and-marketing-management
"Exercise and Nutrition Science MSc, PGDip, PGCert",PGCert,"Full-time - MSc, Part-time - MSc, Full-time - PGDip, Part-time - PGDip, Part-time - PGCert",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/exercise-and-nutrition-science
"Exercise Medicine MSc, PGDip, PGCert",PGCert,"Full-time - MSc, Part-time - MSc, Full-time - PGDip, Part-time - PGDip, Part-time - PGCert","Feb 2024, Feb 2025",https://www1.chester.ac.uk/study/postgraduate/exercise-medicine
"Family and Child Psychology MSc, PGDip, PG Cert",PG Cert,"Full-time - MSc, Part-time - MSc, Full-time - PGDip, Part-time - PGDip, Part-time - PG Cert",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/family-and-child-psychology
Fashion Communication Marketing (Social Media) BA (Hons),BA (Hons),Full-time - BA (Hons),Sep 2024,https://www1.chester.ac.uk/study/undergraduate/fashion-communication-marketing-social-media
Fashion Design BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/fashion-design
Film and Media Studies BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons), Full-time with Foundation Year - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/film-and-media-studies
Fine Art BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Part-time - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/fine-art
Fine Art (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/fine-art-combined
Fine Art and Graphic Design,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/fine-art-and-graphic-design
Fine Art and Photography,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/fine-art-and-photography
Food Science and Innovation MSc,MSc,"Full-time - MSc, Part-time - MSc",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/food-science-and-innovation
Forensic Biology (Combined) BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/forensic-biology-combined
Forensic Biology BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/forensic-biology
Forensic Biology and Archaeology,NA,Full-time,"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/forensic-biology-and-archaeology
Forensic Biology and Biology,BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/forensic-biology-and-biology
Forensic Biology and Psychology,BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/forensic-biology-and-psychology
Forensic Psychology BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/forensic-psychology
French (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/french-combined
French and Spanish,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/french-and-spanish
Games Development BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/games-development
Gateway Certificate in Professional Education,NA,Part-time,Feb 2023,https://www1.chester.ac.uk/study/short/gateway-certificate-professional-education
Gender Studies (MRes) MRes,MRes,"Full-time - MRes, Part-time - MRes",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/gender-studies-mres
Geography BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/geography
Geography BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/geography-6
Geography (Combined) BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/geography-combined
Geography and International Relations,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/geography-and-international-relations
Geography and Natural Hazard Management,BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/geography-and-natural-hazard-management
Geography and Natural Hazard Management with a Year in Industry BSc (Hons),BSc (Hons),Full-time - BSc (Hons),Sep 2024,https://www1.chester.ac.uk/study/undergraduate/geography-and-natural-hazard-management-year-industry
Geography with a Year Abroad BA (Hons),BA (Hons),Full-time - BA (Hons),"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/geography-year-abroad-ba
Geography with a Year in Industry BA (Hons),BA (Hons),Full-time - BA (Hons),Sep 2024,https://www1.chester.ac.uk/study/undergraduate/ba-geography-year-industry
Geography with a Year in Industry BSc (Hons),BSc (Hons),Full-time - BSc (Hons),Sep 2024,https://www1.chester.ac.uk/study/undergraduate/geography-year-industry
Geography with Year Abroad BSc (Hons),BSc (Hons),Full-time - BSc (Hons),"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/geography-year-abroad-4
Graduate Entry Medicine MBChB,MBChB,Full-time - MBChB,Sep 2024,https://www1.chester.ac.uk/study/undergraduate/graduate-entry-medicine
Graduate Entry Medicine MBChB,MBChB,Full-time - MBChB,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/graduate-entry-medicine
Graphic Design BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Full-time with Placement Year - BA (Hons), Part-time - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/graphic-design
Graphic Design (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/graphic-design-combined
Graphic Design and Photography,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/graphic-design-and-photography
Haematology MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, Oct 2024, Feb 2025",https://www1.chester.ac.uk/study/postgraduate/haematology
Health Services Management MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, May 2024, Oct 2024, Feb 2025, May 2025",https://www1.chester.ac.uk/study/postgraduate/health-services-management
History BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/history
History (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/history-combined
History MA,MA,"Full-time - MA, Part-time - MA",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/history
History (MRes) MRes,MRes,"Full-time - MRes, Part-time - MRes",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/history-mres
History and Politics,NA,"Full-time -, Part-time -","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/history-and-politics
"Human Nutrition MSc, PGDip, PGCert",PGCert,"Full-time - MSc, Part-time - MSc, Full-time - PGDip, Part-time - PGDip, Part-time - PGCert",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/human-nutrition
Human Nutrition BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/human-nutrition
Infection and Immunity MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, Oct 2024, Feb 2025",https://www1.chester.ac.uk/study/postgraduate/infection-and-immunity
Integrated Master's in Nursing (Adult Pathway) MNurs MNurs (Adult Pathway),MNurs (Adult Pathway),Full-time - MNurs (Adult Pathway),"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/integrated-masters-nursing-adult-pathway-mnurs
Integrated Master's in Nursing (Child Pathway) MNurs MNurs (Child Pathway),MNurs (Child Pathway),Full-time - MNurs (Child Pathway),"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/integrated-masters-nursing-child-pathway-mnurs
Integrated Master's in Nursing (Learning Disability Pathway) MNurs MNurs,MNurs,Full-time - MNurs,"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/integrated-masters-nursing-learning-disability-pathway-mnurs
Integrated Master's in Nursing (Mental Health Pathway) MNurs MNurs,MNurs,Full-time - MNurs,Sep 2024,https://www1.chester.ac.uk/study/undergraduate/integrated-masters-nursing-mental-health-pathway-mnurs
Interior Design BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Part-time - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/interior-design
International Business MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, May 2024, Oct 2024, Feb 2025, May 2025",https://www1.chester.ac.uk/study/postgraduate/international-business
International Business Management BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Full-time with Placement Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/international-business-management
International Business Management with a Language (French Spanish) BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Placement Year - BA (Hons), Part-time - BA (Hons), Full-time - BA (Hons), Full-time with Placement Year - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/international-business-management-language-french-or-spanish
International Finance MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, May 2024, Oct 2024, Feb 2025, May 2025",https://www1.chester.ac.uk/study/postgraduate/international-finance
International Relations BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/international-relations
International Relations (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/international-relations-combined
International Relations and Politics,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/international-relations-and-politics
International Relations and Spanish,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/international-relations-and-spanish
International Tourism Management (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Placement Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/international-tourism-management-combined
International Tourism Management BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Full-time with Placement Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/international-tourism-management
International Tourism Management and Marketing Management BA (Hons),"BA (Hons)
BA (Hons)","Full-time - BA (Hons), Part-time - BA (Hons), BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/international-tourism-management-and-marketing-management
International Tourism Management with a Language (French Spanish) BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Placement Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/international-tourism-management-language-french-or-spanish
Journalism BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/journalism
Journalism (Combined) BA (Hons),BA (Hons),Full-time - BA (Hons),"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/journalism-combined
Journalism MA,MA,"Full-time - MA, Part-time - MA",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/journalism
Journalism and English Literature,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/journalism-and-english-literature
"Language, Cultures and Translation MA",MA,"Part-time - MA, Full-time - MA",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/language-cultures-and-translation
Law (LLB) LLB (Hons),LLB (Hons),"Full-time - LLB (Hons), Full-time with Foundation Year - LLB (Hons), Part-time - LLB (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/law-llb
Law with Business (LLB) LLB (Hons),LLB (Hons),"Full-time - LLB (Hons), Full-time with Foundation Year - LLB (Hons), Part-time - LLB (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/law-business-llb
Law with Criminology (LLB) LLB (Hons),LLB (Hons),"Full-time - LLB (Hons), Full-time with Foundation Year - LLB (Hons), Part-time - LLB (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/law-criminology-llb
Learning Disability Nursing BN (Hons),BN (Hons),"Full-time - BN (Hons), Full-time with Foundation Year - BN (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/learning-disability-nursing
Management MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, May 2024, Oct 2024, Feb 2025, May 2025",https://www1.chester.ac.uk/study/postgraduate/management
Marine and Coastal Resource Management MSc,MSc,"Full-time - MSc, Part-time - MSc",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/marine-and-coastal-resource-management
Marine Biology BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/marine-biology
Marketing BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Full-time with Placement Year - BA (Hons), Part-time - BA (Hons)",Sep 2024,https://www1.chester.ac.uk/study/undergraduate/marketing
Marketing (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Placement Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/marketing-combined
Marketing Management MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, May 2024, Oct 2024, Feb 2025, May 2025",https://www1.chester.ac.uk/study/postgraduate/marketing-management
Master of Business Administration MBA,MBA,Full-time - MBA,"Jan 2024, May 2024, Oct 2024, Jan 2025, May 2025",https://www1.chester.ac.uk/study/postgraduate/master-business-administration
Master of Public Health MPH,MPH,"Full-time - MPH, Part-time - MPH","Jan 2024, Oct 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/master-public-health
Mathematics MSc,MSc,"Full-time - MSc, Part-time - MSc",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/mathematics
Mathematics BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/mathematics
Mechanical Engineering MSc,MSc,"Full-time - MSc, Part-time - MSc","Jan 2024, Oct 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/mechanical-engineering
