Course_Title,Study_Level,Start_Date,Course_Link
Accountancy and Financial Management (Top-up) BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-accountancy-and-financial-management-top-up
Accounting and Data Analytics MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-accounting-and-data-analytics
Accounting and Finance MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-accounting-and-finance
"Accounting PhD, MPhil and postgraduate research degrees",NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-accounting
Accounting with Finance BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-accounting-with-finance
Accounting with International Finance (Top-up) BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-accounting-with-international-finance-top-up
Adult Nursing MN,MN,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/mn-adult-nursing
Advanced Aesthetic and Restorative Dentistry (Top-up) MSc,MSc,March 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-advanced-aesthetic-and-restorative-dentistry-top-up
Advanced Clinical Practice MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-advanced-clinical-practice
Advanced Dental Nursing Professional Practice top-up BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-advanced-dental-nursing-professional-practice-top-up
Advanced Digital Dentistry (Top Up) MSc,MSc,March 2025,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-advanced-digital-dentistry-top-up
Advanced Manufacturing MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-advanced-manufacturing
Advanced Restorative Dental Therapy (Top-up) MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-advanced-restorative-dental-therapy-top-up
Animation BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-animation
Applied Aquatic Biology MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-applied-aquatic-biology
Applied Biomedical Science Degree Apprenticeship BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-applied-biomedical-science-degree-apprenticeship
Applied Computing (Learning at Work) BSc (Hons),BSc (Hons),January 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-applied-computing-learning-at-work
Applied Computing (Learning at Work) MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-applied-computing-learning-at-work
Applied Languages BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-applied-languages
Applied Linguistics and TESOL MA,MA,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-applied-linguistics-and-tesol
Applied Linguistics and TESOL (with Professional Experience) MA,MA,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-applied-linguistics-and-tesol-with-professional-experience
Applied Science (Learning at Work) BSc (Hons),BSc (Hons),January 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-applied-science-learning-at-work
Applied Science (Learning at Work) MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-applied-science-learning-at-work
Architect Degree Apprenticeship (Master of Architecture and Professional Practice) MArch,MArch,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/march-architect-degree-apprenticeship
Architectural Assistant Degree Apprenticeship BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-architectural-assistant-degree-apprenticeship
Architecture BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-architecture
Architecture MArch,MArch,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/march-architecture
Architecture MA,MA,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-architecture
"Architecture, interiors and urbanism postgraduate research degrees",NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-architecture-interiors-and-urbanism
Architecture: Building and Heritage Conservation MA,MA,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-architecture-building-and-heritage-conservation
Architecture: Landscape and Urban Design MA,MA,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-architecture-landscape-and-urban-design
Architecture: Spatial Design Practices MA,MA,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-architecture-spatial-design-practices
Area studies postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-area-studies
Art and design postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-art-and-design
Artificial Intelligence and Machine Learning MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-artificial-intelligence-and-machine-learning
Biochemistry BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-biochemistry
Biological sciences postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-biological-sciences
Biology BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-biology
Biomedical Engineering MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-biomedical-engineering
Biomedical Science BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-biomedical-science
Biomedical Science with Human Biosciences (Dual Degree) BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-biomedical-science-with-human-biosciences-dual-degree
Biotechnology MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-biotechnology
Building Information Management MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-building-information-management
Building Surveying BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-building-surveying
Business HND,HND,September 2024,https://www.port.ac.uk/study/courses/undergraduate/hnd-business
Business (Learning at Work) BA (Hons),BA (Hons),January 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-business-learning-at-work
Business and Computer Studies (Learning at Work) BA (Hons),BA (Hons),January 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-business-and-computer-studies-learning-at-work
Business and Computer Studies (Learning at Work) MA,MA,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-business-and-computer-studies-learning-at-work
Business and Human Resource Management BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-business-and-human-resource-management
Business and Management BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-business-and-management
Business and Management BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-business-and-management-london
Business and Management MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-business-and-management
Business and Management (Top-up) BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-business-and-management-top-up
Business and management postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-business-and-management
Business and Supply Chain Management BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-business-and-supply-chain-management
Business Communication for International Leadership MA,MA,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-business-communication-for-international-leadership
Business Communication for International Leadership (with Professional Experience) MA,MA,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-business-communication-for-international-leadership-with-professional-experience
Business Management (Learning at Work) MA,MA,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-business-management-learning-at-work
Business with Business Communication (Top-up) BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-business-with-business-communication-top-up
Care of Children and Young People in Crisis,NA,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/care-of-children-and-young-people-in-crisis
Chartered Manager Degree Apprenticeship (Business Leadership and Management) BA (Hons) BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-business-leadership-and-management-degree-apprenticeship
Chartered Surveyor Degree Apprenticeship (Building Surveying) BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-building-surveying-degree-apprenticeship
Chartered Surveyor Degree Apprenticeship (Quantity Surveying) BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-quantity-surveying-degree-apprenticeship
Childhood and Youth Studies BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-childhood-and-youth-studies
Childhood and Youth Studies with Criminology BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-childhood-and-youth-studies-with-criminology
Childhood and Youth Studies with Psychology BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-childhood-and-youth-studies-with-psychology
Civil Engineer Degree Apprenticeship (Civil Engineering) BEng (Hons),BEng (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/beng-hons-civil-engineer-degree-apprenticeship-civil-engineering
Civil Engineering BEng (Hons) / MEng,BEng (Hons) / MEng,September 2024,https://www.port.ac.uk/study/courses/undergraduate/beng-meng-civil-engineering
Civil Engineering MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-civil-engineering
Civil engineering postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-civil-engineering
Clinical Exercise Science MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-clinical-exercise-science
Coastal and Marine Resource Management MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-coastal-and-marine-resource-management
Cognitive Behavioural Therapy DipHE,DipHE,February 2024,https://www.port.ac.uk/study/courses/undergraduate/diphe-cognitive-behavioural-therapy
Cognitive Behavioural Therapy Top up BSc (Hons),BSc (Hons),March 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-cognitive-behavioural-therapy-top-up
Computer Animation MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-computer-animation
Computer Animation and Visual Effects BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-computer-animation-and-visual-effects
Computer Games Art BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-computer-games-art
Computer Games Design BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-computer-games-design
Computer Games Production BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-computer-games-production
Computer Games Technology BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-computer-games-technology
Computer Games Technology MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-computer-games-technology
Computer Network Administration and Management MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-computer-network-administration-and-management
Computer Networks and Security BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-computer-networks-and-security
Computer Science BSc (Hons) / MEng,BSc (Hons) / MEng,September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-meng-computer-science
Computer Science BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-computer-science-london
Computing HND,HND,September 2024,https://www.port.ac.uk/study/courses/undergraduate/hnd-computing
Computing FdSc,FdSc,September 2024,https://www.port.ac.uk/study/courses/undergraduate/fdsc-computing
Computing BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-computing
Computing and Information Systems Distance Learning Top-Up BSc (Hons),BSc (Hons),January 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-computing-and-information-systems-distance-learning-top-up
Computing postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-computing
Conscious Sedation for Dentistry PgCert,PgCert,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/pgcert-conscious-sedation-for-dentistry
Construction HNC,HNC,September 2024,https://www.port.ac.uk/study/courses/undergraduate/hnc-construction
Construction Management BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-construction-management
Construction Management (Top Up) (Degree Apprenticeship) BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-construction-management-top-up-degree-apprenticeship
Construction Project Management MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-construction-project-management
Construction Project Management MSc,MSc,May 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-construction-project-management-london
Corporate Governance and Law GradCG LLM,LLM,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/llm-corporate-governance-and-law-gradcg
Cosmology and astrophysics postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-cosmology-and-astrophysics
"Counter Terrorism, Intelligence and Cybercrime (Dual Degree) BSc (Hons)",BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-counter-terrorism-intelligence-cybercrime-dual-degree
Creative Computing BA (Hons) / BSc (Hons),BA (Hons) / BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-bsc-hons-creative-computing
Creative Industries MRes,MRes,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/mres-creative-industries
Creative Media Technologies BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-creative-media-technologies
Creative Media Technologies (Top-Up) BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-creative-media-technologies-top-up
Creative Music Technology Top-up BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-creative-music-technology-top-up
Creative Technologies MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-creative-technologies
Creative Technologies MA,MA,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-creative-technologies
Creative Technologies and Enterprise (Learning at Work) BSc (Hons),BSc (Hons),January 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-creative-technologies-and-enterprise-learning-at-work
Creative Writing BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-creative-writing
Creative Writing MA,MA,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-creative-writing
Criminal Psychology MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-criminal-psychology
Criminal Psychology and Victimology (Distance Learning) MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-criminal-psychology-and-victimology-distance-learning
Criminology and Criminal Justice BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-criminology-and-criminal-justice
Criminology and Criminal Justice (Distance Learning) BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-criminology-and-criminal-justice-distance-learning
Criminology and Cybercrime BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-criminology-and-cybercrime
Criminology and Forensic Studies BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-criminology-and-forensic-studies
Criminology postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-criminology
Criminology with Psychology BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-criminology-with-psychology
Crisis and Disaster Management MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-crisis-and-disaster-management
Cyber Security and Digital Forensics (Distance Learning) MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-cyber-security-and-digital-forensics-distance-learning
Cyber Security and Forensic Computing BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-cyber-security-and-forensic-computing
Cyber Security and Forensic Information Technology MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-cyber-security-and-forensic-information-technology
Cybercrime (Distance Learning) MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-cybercrime-distance-learning
"Cybercrime, Terrorism and Security MSc",MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-cybercrime-terrorism-and-security
Data Analytics MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-data-analytics
Data Analytics (Distance learning) MSc,MSc,November 2023,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-data-analytics-distance-learning
Data Science and Analytics BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-data-science-and-analytics
Dementia Care in Health and Social Care,NA,April 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/dementia-care-in-health-and-social-care
Dental and oral health postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-dental-and-oral-health
Dental Development Programme,NA,January 2024,https://www.port.ac.uk/study/courses/undergraduate/dental-development-programme
Dental Hygiene BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-dental-hygiene
Dental Hygiene and Dental Therapy BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-dental-hygiene-and-dental-therapy
Dental Nursing CertHE,CertHE,September 2024,https://www.port.ac.uk/study/courses/undergraduate/certhe-dental-nursing
Diagnostic Radiography and Medical Imaging BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-diagnostic-radiography-and-medical-imaging
Digital and creative technologies postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-digital-and-creative-technologies
Digital Business Management MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-digital-business-management
Digital Economy MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-digital-economy
Digital Marketing BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-digital-marketing
Digital Marketing MA,MA,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-digital-marketing-london
