Course_Title,Study_Level,Start_Date,Course_Link
Law and LegalTech LLM,LLM,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/llm-law-and-legaltech
Law postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-law
Law with Business LLB (Hons),LLB (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/llb-hons-law-with-business
Law with Criminology LLB (Hons),LLB (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/llb-hons-law-with-criminology
Law with Legal Practice LLB (Hons),LLB (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/llb-hons-law-with-legal-practice
Leadership and Management (Top-up) MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-leadership-and-management-top-up
Learning Support FdA,FdA,September 2024,https://www.port.ac.uk/study/courses/undergraduate/fda-learning-support
Logistics and Supply Chain Management MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-logistics-and-supply-chain-management
Marine Biology BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-marine-biology
Marine Environmental Science BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-marine-environmental-science
Maritime Studies (Learning at Work) BSc (Hons),BSc (Hons),January 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-maritime-studies-learning-at-work
Maritime Studies (Learning at Work) MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-maritime-studies-learning-at-work
Marketing BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-marketing-london
Marketing BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-marketing
Marketing Analytics MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-marketing-analytics
Marketing postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-marketing
Mathematics BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-mathematics
Mathematics for Finance and Management BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-mathematics-for-finance-and-management
Mathematics postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-mathematics
Mathematics with Machine Learning BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-mathematics-with-machine-learning
Mathematics with Statistics BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-mathematics-with-statistics
Mechanical and design engineering postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-mechanical-and-design-engineering
Mechanical and Manufacturing Engineering BEng (Hons),BEng (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/beng-hons-mechanical-and-manufacturing-engineering
Mechanical and Manufacturing Engineering (Top-Up) Degree Apprenticeship BEng (Hons),BEng (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/beng-hons-mechanical-and-manufacturing-engineering-top-up-degree-apprenticeship
Mechanical and Manufacturing Engineering Top-up BEng (Hons),BEng (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/beng-hons-mechanical-and-manufacturing-engineering-top-up
Mechanical Engineering BEng (Hons) / MEng,BEng (Hons) / MEng,September 2024,https://www.port.ac.uk/study/courses/undergraduate/beng-meng-mechanical-engineering
Mechanical Engineering HNC,HNC,September 2024,https://www.port.ac.uk/study/courses/undergraduate/hnc-mechanical-engineering
Mechanical Engineering MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-mechanical-engineering
Media and Communication MA,MA,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-media-and-communication
Media and Communication with Foundation Year BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-media-and-communication-with-foundation-year
Media Studies BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-media-studies
Medical Biotechnology MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-medical-biotechnology
Mental Health Nursing MN,MN,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/mn-mental-health-nursing
Modern Languages BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-modern-languages
Music Technology BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-music-technology
Music Technology MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-music-technology
Naval History (Distance Learning) MA,MA,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-naval-history
Nursing (Adult) BN (Hons),BN (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bn-hons-nursing-adult
Nursing Associate FdSc,FdSc,September 2024,https://www.port.ac.uk/study/courses/undergraduate/fdsc-nursing-associate
Nursing Mental Health BN (Hons),BN (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bn-hons-nursing-mental-health
Occupational Health and Safety Management MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-occupational-health-and-safety-management
Occupational Health and Safety Management (Distance Learning) (Learning at Work) PgCert,PgCert,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/pgcert-occupational-health-and-safety-management
Occupational Health and Safety Management (Learning at Work) MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-occupational-health-and-safety-management-learning-at-work
"Occupational Health, Safety and Environmental Management (Learning at Work) MSc",MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-occupational-health-safety-and-environmental-management-learning-at-work
"Occupational Health, Safety and Environmental Management MSc",MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-occupational-health-safety-and-environmental-management
Operating Department Practice BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-operating-department-practice
Operational research and logistics postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-operational-research-and-logistics
Organisation studies and human resource management postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-organisation-studies-and-human-resource-management
Palaeontology BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-palaeontology
Paramedic Science BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-paramedic-science
"Performance, theatre and music postgraduate research degrees",NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-performance-theatre-and-music
PGCE Courses,NA,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/pgce-courses
Pharmacology BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-pharmacology
Pharmacy MPharm (Hons),MPharm (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/mpharm-hons-pharmacy
"Pharmacy, pharmacology and biomedical sciences postgraduate research degrees",NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-pharmacy-pharmacology-and-biomedical-sciences
Photography BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-photography
Photography MA,MA,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-photography
Physical and human geography postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-physical-and-human-geography
Physics BSc (Hons) / MPhys (Hons),BSc (Hons) / MPhys (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-mphys-physics
Physics postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-physics
"Physics, Astrophysics and Cosmology BSc (Hons) / MPhys (Hons)",BSc (Hons) / MPhys (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-mphys-physics-astrophysics-and-cosmology
Physiotherapy (Pre-registration) MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-physiotherapy-pre-registration
Policing and Investigation (Distance Learning) BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-policing-and-investigation
Politics BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-politics
Politics and international relations postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-politics-and-international-relations
Post-Production for Film and Television BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-post-production-for-film-and-television
Postgraduate Engineering Degree Apprenticeship (Engineering Competence) PgDip,PgDip,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/pgdip-postgraduate-engineering-degree-apprenticeship-engineering-competence
Postgraduate Teaching Apprenticeship,NA,June 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/postgraduate-teaching-apprenticeship
Primary PGCE,PGCE,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/pgce-primary
Primary Education with Qualified Teacher Status BEd,BEd,September 2024,https://www.port.ac.uk/study/courses/undergraduate/bed-primary-education-with-qualified-teacher-status
Product Design and Innovation BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-product-design-and-innovation
Professional Doctorate in Business Administration DBA,DBA,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/dba-professional-doctorate-in-business-administration
Professional Doctorate in Criminal Justice DCrimJ,DCrimJ,October 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/dcrimj-professional-doctorate-in-criminal-justice
Professional Doctorate in Education EdD,EdD,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/edd-professional-doctorate-in-education
Professional Doctorate in Health and Social Care Prof Doc,Prof Doc,October 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/prof-doc-professional-doctorate-in-health-and-social-care
Professional Doctorate in Security Risk Management,NA,October 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/professional-doctorate-in-security-risk-management
Professional Policing BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-professional-policing
Professional Studies (Learning at Work) CertHE,CertHE,January 2024,https://www.port.ac.uk/study/courses/undergraduate/certhe-professional-studies
Professional Studies (Learning at Work) BA (Hons) / BSc (Hons),BA (Hons) / BSc (Hons),January 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-professional-studies-learning-at-work
Professional Studies (Learning at Work) MA / MSc,MA / MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-professional-studies-learning-at-work
Project Management MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-project-management
Project Management Degree Apprenticeship BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-project-management-degree-apprenticeship
Project Management for Construction (Distance learning) MSc,MSc,September 2023,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-project-management-for-construction-distance-learning
Property Development BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-property-development
Psychological Sciences (Dual Degree) BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-psychological-sciences-dual-degree
Psychology BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-psychology
Psychology (Distance learning) MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-psychology-distance-learning
Psychology and Learning Disability MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-psychology-and-learning-disability
Psychology postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-psychology
Public Administration (Distance Learning) MPA,MPA,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/mpa-public-administration
Public Administration Degree Apprenticeship (Distance Learning) MPA,MPA,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/mpa-public-administration-degree-apprenticeship-distance-learning
Quantity Surveying BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-quantity-surveying
Quantity Surveying MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-quantity-surveying
Real Estate Management MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-real-estate-management
Renewable Energy Engineering BEng (Hons) / MEng,BEng (Hons) / MEng,September 2024,https://www.port.ac.uk/study/courses/undergraduate/meng-beng-renewable-energy-engineering
Risk and Safety Management Professional Degree Apprenticeship (Risk and Safety Leadership) MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-risk-and-safety-leadership-degree-apprenticeship
Risk and Security Management (Distance Learning) BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-risk-and-security-management
"Risk, Crisis and Resilience Management MSc",MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-risk-crisis-and-resilience-management
"Risk, Crisis and Resilience Management (Distance learning) MSc",MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-risk-crisis-and-resilience-management-distance-learning
Science and Health MRes,MRes,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/mres-science-and-health
Science with Foundation Year BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-science-with-foundation-year
Screenwriting BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-screenwriting
Security and Risk (Learning at Work) BSc (Hons),BSc (Hons),September 2023,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-security-and-risk-learning-at-work
Security and Risk (Learning at Work) MSc,MSc,September 2023,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-security-and-risk-learning-at-work
Senior Journalist Master's Degree Apprenticeship (Journalism) MA,MA,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-senior-journalist-masters-degree-apprenticeship
Senior Leader Degree Apprenticeship (Educational Leadership and Management) MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-educational-leadership-and-management-degree-apprenticeship
Social Work BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-social-work
Social Work MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-social-work
Sociology BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-sociology
Sociology postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-sociology
Sociology with Criminology BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-sociology-with-criminology
Sociology with Media Studies BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-sociology-with-media-studies
Sociology with Psychology BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-sociology-with-psychology
Software Engineering BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-software-engineering
Sport and Exercise Psychology BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-sport-and-exercise-psychology
Sport and Exercise Psychology Prof Doc,Prof Doc,October 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/prof-doc-sport-and-exercise-psychology
Sport and Exercise Psychology MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-sport-and-exercise-psychology
Sport and Exercise Science BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-sport-and-exercise-science
Sport and exercise science postgraduate research degrees,NA,NA,https://www.port.ac.uk/study/courses/postgraduate-research/pgr-sport-and-exercise-science
Sport Management BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-sport-management
Sport Management MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-sport-management
Sport Management (Top-up) BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-sport-management-top-up
"Sport, Exercise and Health Science Prof Doc",Prof Doc,October 2024,https://www.port.ac.uk/study/courses/postgraduate-research/profdoc-sport-exercise-and-health-science
"Sport, Health and Exercise Sciences (Dual Degree) BSc (Hons)",BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-sport-health-and-exercise-sciences-dual-degree
Sports Coaching (Top Up) BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-sports-coaching-top-up
Sports Performance MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-sports-performance
Strategic Leadership MBA,MBA,September 2025,https://www.port.ac.uk/study/courses/postgraduate-taught/mba-strategic-leadership
Strategic Leadership Degree Apprenticeship,NA,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/strategic-leadership-degree-apprenticeship
Strategic Procurement MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-strategic-procurement
Strategic Quality Management (Distance Learning) MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-strategic-quality-management-distance-learning
"Strength, Conditioning, and Rehabilitation MSc",MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-strength-conditioning-and-rehabilitation
Systems Engineering MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-systems-engineering
Terrorism and Security Management (Distance Learning) MSc,MSc,September 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-terrorism-and-security-management-distance-learning
Theatre BA (Hons),BA (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/ba-hons-theatre
Theatre: Socially Engaged Practice MA,MA,September 2025,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-theatre-socially-engaged-practice
Translation Studies MA,MA,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-translation-studies
User Experience Design BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-user-experience-design
"Victorian Gothic: History, Literature and Culture MA",MA,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/ma-victorian-gothic-history-literature-and-culture
Virtual and Augmented Reality BSc (Hons),BSc (Hons),September 2025,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-virtual-and-augmented-reality
Virtual Production BSc (Hons),BSc (Hons),September 2024,https://www.port.ac.uk/study/courses/undergraduate/bsc-hons-virtual-production
Water and Environmental Engineering MSc,MSc,January 2024,https://www.port.ac.uk/study/courses/postgraduate-taught/msc-water-and-environmental-engineering
