Course_Title,Degree_Type,Duration,Course_Link
Accounting and Finance,BSc,3 years,https://www.southampton.ac.uk/courses/accounting-finance-degree-bsc
Accounting and Finance with Placement Year,BSc,4 years,https://www.southampton.ac.uk/courses/accounting-finance-with-placement-year-degree-bsc
Accounting and Finance with Study Abroad Year,BSc,4 years,https://www.southampton.ac.uk/courses/accounting-finance-with-study-abroad-year-degree-bsc
Acoustical Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/acoustical-engineering-degree-beng
Acoustical Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/acoustical-engineering-degree-meng
Acoustics with Music,BSc,3 years,https://www.southampton.ac.uk/courses/acoustics-with-music-degree-bsc
Aeronautics and Astronautics,BEng,3 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-degree-beng
Aeronautics and Astronautics,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-degree-meng
Aeronautics and Astronautics / Aerodynamics,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-aerodynamics-degree-meng
Aeronautics and Astronautics / Airvehicle Systems Design,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-airvehicle-systems-design-degree-meng
Aeronautics and Astronautics / Computational Engineering and Design,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-computational-engineering-design-degree-meng
Aeronautics and Astronautics / Engineering Management,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-engineering-management-degree-meng
Aeronautics and Astronautics / Materials and Structures,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-materials-structures-degree-meng
Aeronautics and Astronautics / Semester Abroad,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-semester-abroad-degree-meng
Aeronautics and Astronautics / Spacecraft Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/aeronautics-astronautics-spacecraft-engineering-degree-meng
Aerospace Electronic Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/aerospace-electronic-engineering-degree-meng
Aerospace Electronic Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/aerospace-electronic-engineering-degree-beng
Ancient History,BA,3 years,https://www.southampton.ac.uk/courses/ancient-history-degree-ba
Ancient History and Archaeology,BA,3 years,https://www.southampton.ac.uk/courses/ancient-history-archaeology-degree-ba
Ancient History and Archaeology with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/ancient-history-archaeology-with-year-abroad-degree-ba
Ancient History and History,BA,3 years,https://www.southampton.ac.uk/courses/ancient-history-history-degree-ba
Ancient History and History with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/ancient-history-history-with-year-abroad-degree-ba
Ancient History with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/ancient-history-with-year-abroad-degree-ba
Archaeology,BA,3 years,https://www.southampton.ac.uk/courses/archaeology-degree-ba
Archaeology and Anthropology,BA,3 years,https://www.southampton.ac.uk/courses/archaeology-anthropology-degree-ba
Archaeology and Anthropology with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/archaeology-anthropology-with-year-abroad-degree-ba
Archaeology with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/archaeology-with-year-abroad-degree-ba
Artificial Intelligence,MEng,4 years,https://www.southampton.ac.uk/courses/artificial-intelligence-degree-meng
Artificial Intelligence,BEng,3 years,https://www.southampton.ac.uk/courses/artificial-intelligence-degree-beng
Artificial Intelligence with Industrial Studies,MEng,3 years,https://www.southampton.ac.uk/courses/artificial-intelligence-with-industrial-studies-degree-meng
Astrophysics with Year Abroad,MPhys,4 years,https://www.southampton.ac.uk/courses/astrophysics-with-year-abroad-degree-mphys
Audiology,BSc,3 years,https://www.southampton.ac.uk/courses/audiology-degree-bsc
Audiology,MSci,4 years,https://www.southampton.ac.uk/courses/audiology-degree-msci
Biochemistry,BSc,3 years,https://www.southampton.ac.uk/courses/biochemistry-degree-bsc
Biochemistry,MSci,4 years,https://www.southampton.ac.uk/courses/biochemistry-degree-msci
Biology,BSc,3 years,https://www.southampton.ac.uk/courses/biology-degree-bsc
Biology,MSci,4 years,https://www.southampton.ac.uk/courses/biology-degree-msci
Biology and Marine Biology,MSci,4 years,https://www.southampton.ac.uk/courses/biology-marine-biology-degree-msci
Biology and Marine Biology,BSc,3 years,https://www.southampton.ac.uk/courses/biology-marine-biology-degree-bsc
Biomedical Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/biomedical-engineering-degree-meng
Biomedical Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/biomedical-engineering-degree-beng
Biomedical Engineering with Industrial Studies,MEng,5 years,https://www.southampton.ac.uk/courses/biomedical-engineering-with-industrial-studies-degree-meng
Biomedical Sciences,MSci,4 years,https://www.southampton.ac.uk/courses/biomedical-sciences-degree-msci
Biomedical Sciences,BSc,3 years,https://www.southampton.ac.uk/courses/biomedical-sciences-degree-bsc
Business Analytics,BSc,3 years,https://www.southampton.ac.uk/courses/business-analytics-degree-bsc
Business Analytics with Placement Year,BSc,4 years,https://www.southampton.ac.uk/courses/business-analytics-with-placement-year-degree-bsc
Business Analytics with Study Abroad Year,BSc,4 years,https://www.southampton.ac.uk/courses/business-analytics-with-study-abroad-year-degree-bsc
Business Entrepreneurship,BSc,3 years,https://www.southampton.ac.uk/courses/business-entrepreneurship-degree-bsc
Business Entrepreneurship with Placement Year,BSc,4 years,https://www.southampton.ac.uk/courses/business-entrepreneurship-with-placement-year-degree-bsc
Business Entrepreneurship with Study Abroad Year,BSc,4 years,https://www.southampton.ac.uk/courses/business-entrepreneurship-with-study-abroad-year-degree-bsc
Business Management,BSc,3 years,https://www.southampton.ac.uk/courses/business-management-degree-bsc
Business Management with Placement Year,BSc,4 years,https://www.southampton.ac.uk/courses/business-management-with-placement-year-degree-bsc
Business Management with Study Abroad Year,BSc,4 years,https://www.southampton.ac.uk/courses/business-management-with-study-abroad-year-degree-bsc
Cardiac Physiology (Healthcare Science),BSc,3 years,https://www.southampton.ac.uk/courses/cardiac-physiology-healthcare-science-degree-bsc
Chemical Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/chemical-engineering-degree-beng
Chemical Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/chemical-engineering-degree-meng
Chemistry,MChem,4 years,https://www.southampton.ac.uk/courses/chemistry-degree-mchem
Chemistry,BSc,3 years,https://www.southampton.ac.uk/courses/chemistry-degree-bsc
Chemistry (Digital Methods and Computational Modelling),MChem,4 years,https://www.southampton.ac.uk/courses/chemistry-digital-methods-computational-modelling-degree-mchem
Chemistry (Digital Methods and Computational Modelling),BSc,3 years,https://www.southampton.ac.uk/courses/chemistry-digital-methods-computational-modelling-degree-bsc
Chemistry with External Placement,MChem,4 years,https://www.southampton.ac.uk/courses/chemistry-with-external-placement-degree-mchem
Chemistry with Maths,BSc,3 years,https://www.southampton.ac.uk/courses/chemistry-with-maths-degree-bsc
Chemistry with Maths,MChem,4 years,https://www.southampton.ac.uk/courses/chemistry-with-maths-degree-mchem
Chemistry with Medicinal Sciences,BSc,3 years,https://www.southampton.ac.uk/courses/chemistry-with-medicinal-sciences-degree-bsc
Chemistry with Medicinal Sciences,MChem,4 years,https://www.southampton.ac.uk/courses/chemistry-with-medicinal-sciences-degree-mchem
Chemistry with Year-Long Industry Experience,MChem,4 years,https://www.southampton.ac.uk/courses/chemistry-with-year-long-industry-experience-degree-mchem
Civil Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/civil-engineering-degree-beng
Civil Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/civil-engineering-degree-meng
Civil Engineering and Architecture,MEng,4 years,https://www.southampton.ac.uk/courses/civil-engineering-architecture-degree-meng
Computer Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/computer-engineering-degree-meng
Computer Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/computer-engineering-degree-beng
Computer Science,MEng,4 years,https://www.southampton.ac.uk/courses/computer-science-degree-meng
Computer Science,BSc,3 years,https://www.southampton.ac.uk/courses/computer-science-degree-bsc
Computer Science with Artificial Intelligence,MEng,4 years,https://www.southampton.ac.uk/courses/computer-science-with-artificial-intelligence-degree-meng
Computer Science with Cyber Security,MEng,4 years,https://www.southampton.ac.uk/courses/computer-science-with-cyber-security-degree-meng
Creative Computing,BSc,3 years,https://www.southampton.ac.uk/courses/creative-computing-degree-bsc
Criminology,BSc,3 years,https://www.southampton.ac.uk/courses/criminology-degree-bsc
Criminology and Psychology,BSc,3 years,https://www.southampton.ac.uk/courses/criminology-psychology-degree-bsc
Economics,MEcon,4 years,https://www.southampton.ac.uk/courses/economics-degree-mecon
Economics,BSc,3 years,https://www.southampton.ac.uk/courses/economics-degree-bsc
Economics and Accounting,BSc,3 years,https://www.southampton.ac.uk/courses/economics-accounting-degree-bsc
Economics and Actuarial Science,BSc,3 years,https://www.southampton.ac.uk/courses/economics-actuarial-science-degree-bsc
Economics and Business Management,BSc,3 years,https://www.southampton.ac.uk/courses/economics-business-management-degree-bsc
Economics and Finance,BSc,3 years,https://www.southampton.ac.uk/courses/economics-finance-degree-bsc
Economics and Philosophy,BA,3 years,https://www.southampton.ac.uk/courses/economics-philosophy-degree-ba
Economics and Philosophy with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/economics-philosophy-with-year-abroad-degree-ba
Economics with Data Science,BSc,3 years,https://www.southampton.ac.uk/courses/economics-with-data-science-degree-bsc
Education,BSc,3 years,https://www.southampton.ac.uk/courses/education-degree-bsc
Education and Psychology,BSc,3 years,https://www.southampton.ac.uk/courses/education-psychology-degree-bsc
Electrical Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/electrical-engineering-degree-meng
Electrical Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/electrical-engineering-degree-beng
Electrical and Electronic Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/electrical-electronic-engineering-degree-beng
Electrical and Electronic Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/electrical-electronic-engineering-degree-meng
Electronic Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/electronic-engineering-degree-meng
Electronic Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/electronic-engineering-degree-beng
Electronic Engineering with Artificial Intelligence,MEng,4 years,https://www.southampton.ac.uk/courses/electronic-engineering-with-artificial-intelligence-degree-meng
Electronic Engineering with Computer Systems,MEng,4 years,https://www.southampton.ac.uk/courses/electronic-engineering-with-computer-systems-degree-meng
Electronic Engineering with Mobile and Secure Systems,MEng,4 years,https://www.southampton.ac.uk/courses/electronic-engineering-with-mobile-secure-systems-degree-meng
Electronic Engineering with Nanotechnology,MEng,4 years,https://www.southampton.ac.uk/courses/electronic-engineering-with-nanotechnology-degree-meng
Electronic Engineering with Photonics,MEng,4 years,https://www.southampton.ac.uk/courses/electronic-engineering-with-photonics-degree-meng
Electronic Engineering with Wireless Communications,MEng,4 years,https://www.southampton.ac.uk/courses/electronic-engineering-with-wireless-communications-degree-meng
English,BA,3 years,https://www.southampton.ac.uk/courses/english-degree-ba
English Language and Linguistics,BA,3 years,https://www.southampton.ac.uk/courses/english-language-linguistics-degree-ba
English Language and Linguistics with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/english-language-linguistics-with-year-abroad-degree-ba
English Language and Literature,BA,3 years,https://www.southampton.ac.uk/courses/english-language-literature-degree-ba
English and History,BA,3 years,https://www.southampton.ac.uk/courses/english-history-degree-ba
English and History with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/english-history-with-year-abroad-degree-ba
English and Modern Languages,BA,4 years,https://www.southampton.ac.uk/courses/one-modern-language-english-degree-ba
English with Creative Writing,BA,3 years,https://www.southampton.ac.uk/courses/english-with-creative-writing-degree-ba
Environmental Geoscience,BSc,3 years,https://www.southampton.ac.uk/courses/environmental-geoscience-degree-bsc
Environmental Geoscience,MSci,4 years,https://www.southampton.ac.uk/courses/environmental-geoscience-degree-msci
Environmental Science,BSc,3 years,https://www.southampton.ac.uk/courses/environmental-science-degree-bsc
Environmental Science,MEnvSci,4 years,https://www.southampton.ac.uk/courses/environmental-science-degree-menvsci
European Legal Studies,LLB,4 years,https://www.southampton.ac.uk/courses/european-legal-studies-degree-llb
Fashion Design,BA,3 years,https://www.southampton.ac.uk/courses/fashion-design-degree-ba
Fashion Marketing with Management,BA,3 years,https://www.southampton.ac.uk/courses/fashion-marketing-with-management-degree-ba
Film Studies,BA,3 years,https://www.southampton.ac.uk/courses/film-studies-degree-ba
Film Studies with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/film-studies-with-year-abroad-degree-ba
Film and English,BA,3 years,https://www.southampton.ac.uk/courses/film-english-degree-ba
Film and English with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/film-english-with-year-abroad-degree-ba
Film and History,BA,3 years,https://www.southampton.ac.uk/courses/film-history-degree-ba
Film and History with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/film-history-with-year-abroad-degree-ba
"Film, TV and Digital Media",BA,3 years,https://www.southampton.ac.uk/courses/film-tv-digital-media-degree-ba
Finance and Financial Technology,BSc,3 years,https://www.southampton.ac.uk/courses/finance-financial-technology-degree-bsc
Finance and Financial Technology with Placement Year,BSc,4 years,https://www.southampton.ac.uk/courses/finance-financial-technology-with-placement-year-degree-bsc
Finance and Financial Technology with Study Abroad Year,BSc,4 years,https://www.southampton.ac.uk/courses/finance-financial-technology-with-study-abroad-year-degree-bsc
Fine Art,BA,3 years,https://www.southampton.ac.uk/courses/fine-art-degree-ba
Games Design and Art,BA,3 years,https://www.southampton.ac.uk/courses/games-design-art-degree-ba
Geography,BSc,3 years,https://www.southampton.ac.uk/courses/geography-degree-bsc
Geography,BA,3 years,https://www.southampton.ac.uk/courses/geography-degree-ba
Geology,BSc,3 years,https://www.southampton.ac.uk/courses/geology-degree-bsc
Geology,MSci,4 years,https://www.southampton.ac.uk/courses/geology-degree-msci
Graphic Communication,BA,3 years,https://www.southampton.ac.uk/courses/graphic-communication-degree-ba
History,BA,3 years,https://www.southampton.ac.uk/courses/history-degree-ba
History and Modern Languages,BA,4 years,https://www.southampton.ac.uk/courses/one-modern-language-history-degree-ba
History with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/history-with-year-abroad-degree-ba
Human Geography,BA,3 years,https://www.southampton.ac.uk/courses/human-geography-degree-ba
International Business,BSc,3 years,https://www.southampton.ac.uk/courses/international-business-degree-bsc
International Legal Studies,LLB,4 years,https://www.southampton.ac.uk/courses/international-legal-studies-degree-llb
International Relations,BSc,3 years,https://www.southampton.ac.uk/courses/international-relations-degree-bsc
"Language, Culture and Communication",BA,3 years,https://www.southampton.ac.uk/courses/language-culture-communication-degree-ba
Law,LLB,3 years,https://www.southampton.ac.uk/courses/law-degree-llb
Law Accelerated Programme,LLB,2 years,https://www.southampton.ac.uk/courses/law-accelerated-programme-degree-llb
Law Accelerated Programme JD Pathway,LLB,2 years,https://www.southampton.ac.uk/courses/law-accelerated-programme-jd-pathway-degree-llb
Law with Psychology,LLB,3 years,https://www.southampton.ac.uk/courses/law-with-psychology-degree-llb
Liberal Arts,BA,3 years,https://www.southampton.ac.uk/courses/liberal-arts-degree-ba
Marine Biology,MSci,4 years,https://www.southampton.ac.uk/courses/marine-biology-degree-msci
Marine Biology,BSc,3 years,https://www.southampton.ac.uk/courses/marine-biology-degree-bsc
Marine Biology with Oceanography,MSci,4 years,https://www.southampton.ac.uk/courses/marine-biology-with-oceanography-degree-msci
Marine Biology with Oceanography,BSc,3 years,https://www.southampton.ac.uk/courses/marine-biology-with-oceanography-degree-bsc
Maritime Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/maritime-engineering-degree-beng
Maritime Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/maritime-engineering-degree-meng
Marketing,BSc,3 years,https://www.southampton.ac.uk/courses/marketing-degree-bsc
Marketing with Placement Year,BSc,4 years,https://www.southampton.ac.uk/courses/marketing-with-placement-year-degree-bsc
Marketing with Study Abroad Year,BSc,4 years,https://www.southampton.ac.uk/courses/marketing-with-study-abroad-year-degree-bsc
Mathematical Physics,MMath,4 years,https://www.southampton.ac.uk/courses/mathematical-physics-degree-mmath
Mathematical Sciences,BSc,3 years,https://www.southampton.ac.uk/courses/mathematical-sciences-degree-bsc
Mathematics,MMath,4 years,https://www.southampton.ac.uk/courses/mathematics-degree-mmath
Mathematics,BSc,3 years,https://www.southampton.ac.uk/courses/mathematics-degree-bsc
Mathematics with Actuarial Science,BSc,3 years,https://www.southampton.ac.uk/courses/mathematics-with-actuarial-science-degree-bsc
Mathematics with Computer Science,BSc,3 years,https://www.southampton.ac.uk/courses/mathematics-with-computer-science-degree-bsc
Mathematics with Finance,BSc,3 years,https://www.southampton.ac.uk/courses/mathematics-with-finance-degree-bsc
Mathematics with French,BSc,4 years,https://www.southampton.ac.uk/courses/mathematics-with-french-degree-bsc
Mathematics with German,BSc,4 years,https://www.southampton.ac.uk/courses/mathematics-with-german-degree-bsc
Mathematics with Spanish,BSc,4 years,https://www.southampton.ac.uk/courses/mathematics-with-spanish-degree-bsc
Mathematics with Statistics,BSc,3 years,https://www.southampton.ac.uk/courses/mathematics-with-statistics-degree-bsc
"Mathematics, Operational Research, Statistics and Economics",BSc,3 years,https://www.southampton.ac.uk/courses/mathematics-operational-research-statistics-economics-degree-bsc
"Mathematics, Operational Research, Statistics and Economics",MMORSE,4 years,https://www.southampton.ac.uk/courses/mathematics-operational-research-statistics-economics-degree-mmorse
Mechanical Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/mechanical-engineering-degree-beng
Mechanical Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/mechanical-engineering-degree-meng
Mechanical Engineering / Acoustical Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/mechanical-engineering-acoustical-engineering-degree-meng
Mechanical Engineering / Aerospace Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/mechanical-engineering-aerospace-engineering-degree-meng
Mechanical Engineering / Automotive Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/mechanical-engineering-automotive-engineering-degree-meng
Mechanical Engineering / Biomedical Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/mechanical-engineering-biomedical-engineering-degree-meng
Mechanical Engineering / Computational Engineering and Design,MEng,4 years,https://www.southampton.ac.uk/courses/mechanical-engineering-computational-engineering-design-degree-meng
Mechanical Engineering / Engineering Management,MEng,4 years,https://www.southampton.ac.uk/courses/mechanical-engineering-engineering-management-degree-meng
Mechanical Engineering / Materials,MEng,4 years,https://www.southampton.ac.uk/courses/mechanical-engineering-materials-degree-meng
Mechanical Engineering / Mechatronics,MEng,4 years,https://www.southampton.ac.uk/courses/mechanical-engineering-mechatronics-degree-meng
Mechanical Engineering / Naval Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/mechanical-engineering-naval-engineering-degree-meng
Mechanical Engineering / Sustainable Energy Systems,MEng,4 years,https://www.southampton.ac.uk/courses/mechanical-engineering-sustainable-energy-systems-degree-meng
Mechatronic Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/mechatronic-engineering-degree-beng
Mechatronic Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/mechatronic-engineering-degree-meng
Medical Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/medical-engineering-degree-beng
Medical Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/medical-engineering-degree-meng
Medical Engineering with Industrial Placement Year,MEng,5 years,https://www.southampton.ac.uk/courses/medical-engineering-with-industrial-placement-year-degree-meng
Medical Engineering with Industrial Placement Year,BEng,4 years,https://www.southampton.ac.uk/courses/medical-engineering-with-industrial-placement-year-degree-beng
Medicine BM4 Graduate Entry,BMBS,4 years,https://www.southampton.ac.uk/courses/medicine-bm4-graduate-entry-degree-bmbs
Medicine BM5,BMBS,5 years,https://www.southampton.ac.uk/courses/medicine-bm5-degree-bmbs
Medicine BM6 Widening Participation,BMBS,6 years,https://www.southampton.ac.uk/courses/medicine-bm6-widening-participation-degree-bmbs
Midwifery,BSc,3 years,https://www.southampton.ac.uk/courses/midwifery-degree-bsc
Modern History and Politics,BA,3 years,https://www.southampton.ac.uk/courses/modern-history-politics-degree-ba
Modern History and Politics with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/modern-history-politics-with-year-abroad-degree-ba
"Modern Languages (1 language: French, German or Spanish)",BA,4 years,https://www.southampton.ac.uk/courses/one-modern-language-french-german-spanish-degree-ba
"Modern Languages (1 language: French, German or Spanish)",MLang,4 years,https://www.southampton.ac.uk/courses/one-modern-language-french-german-spanish-degree-mlang
"Modern Languages (2 languages: French, German or Spanish)",MLang,4 years,https://www.southampton.ac.uk/courses/two-languages-french-german-spanish-degree-mlang
"Modern Languages (2 languages: French, German, Portuguese or Spanish)",BA,4 years,https://www.southampton.ac.uk/courses/two-modern-languages-french-german-spanish-portuguese-degree-ba
"Modern Languages (3 languages: Chinese, French, German, Portuguese or Spanish)",BA,4 years,https://www.southampton.ac.uk/courses/three-modern-languages-degree-ba
Modern Languages (French and German) and Linguistics,MLang,4 years,https://www.southampton.ac.uk/courses/french-and-german-linguistic-studies-degree-mlang
Modern Languages (French and Spanish) and Linguistics,BA,4 years,https://www.southampton.ac.uk/courses/french-and-spanish-linguistic-studies-degree-ba
Modern Languages (French) and Philosophy,BA,4 years,https://www.southampton.ac.uk/courses/french-and-philosophy-degree-ba
"Modern Languages and Business Management (1 language: French, German or Spanish)",BSc,4 years,https://www.southampton.ac.uk/courses/one-modern-language-business-management-degree-bsc
"Modern Languages and Linguistics (1 Language: French, German or Spanish)",BA,4 years,https://www.southampton.ac.uk/courses/one-modern-language-linguistics-french-german-spanish-degree-ba
"Modern Languages and Linguistics (1 language: French, German or Spanish)",MLang,4 years,https://www.southampton.ac.uk/courses/one-modern-language-linguistics-french-german-spanish-degree-mlang
"Modern Languages and Linguistics (2 languages: French, German or Spanish)",BA,4 years,https://www.southampton.ac.uk/courses/two-modern-languages-linguistics-french-german-spanish-degree-ba
"Modern Languages and Linguistics (2 languages: French, German or Spanish)",MLang,4 years,https://www.southampton.ac.uk/courses/two-modern-languages-linguistics-french-german-spanish-degree-mlang
Modern Languages and Philosophy (1 language: French or German),BA,4 years,https://www.southampton.ac.uk/courses/one-modern-language-philosophy-french-german-degree-ba
"Modern Languages and Politics (1 language: French, German or Spanish)",BA,4 years,https://www.southampton.ac.uk/courses/one-modern-language-politics-french-german-spanish-degree-ba
Music,BA,3 years,https://www.southampton.ac.uk/courses/music-degree-ba
Music and Business Management,BA,3 years,https://www.southampton.ac.uk/courses/music-business-management-degree-ba
Music and Business Management with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/music-business-management-with-year-abroad-degree-ba
Music with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/music-with-year-abroad-degree-ba
Neuroscience,BSc,3 years,https://www.southampton.ac.uk/courses/neuroscience-degree-bsc
Neuroscience,MSci,4 years,https://www.southampton.ac.uk/courses/neuroscience-degree-msci
Nursing (Adult and Child),MNurs,4 years,https://www.southampton.ac.uk/courses/nursing-adult-child-degree-mnurs
Nursing (Adult and Mental Health),MNurs,4 years,https://www.southampton.ac.uk/courses/nursing-adult-mental-health-degree-mnurs
Nursing (Adult),BSc,3 years,https://www.southampton.ac.uk/courses/nursing-adult-degree-bsc
Nursing (Child and Mental Health),MNurs,4 years,https://www.southampton.ac.uk/courses/nursing-child-mental-health-degree-mnurs
Nursing (Child),BSc,3 years,https://www.southampton.ac.uk/courses/nursing-child-degree-bsc
Nursing (Mental Health),BSc,3 years,https://www.southampton.ac.uk/courses/nursing-mental-health-degree-bsc
Occupational Therapy,BSc,3 years,https://www.southampton.ac.uk/courses/occupational-therapy-degree-bsc
Oceanography,MSci,4 years,https://www.southampton.ac.uk/courses/oceanography-degree-msci
Oceanography,BSc,3 years,https://www.southampton.ac.uk/courses/oceanography-degree-bsc
Particle Physics with Research Year Abroad,MPhys,4 years,https://www.southampton.ac.uk/courses/particle-physics-with-research-year-abroad-degree-mphys
Pharmacology,BSc,3 years,https://www.southampton.ac.uk/courses/pharmacology-degree-bsc
Pharmacology and Drug Discovery,MSci,4 years,https://www.southampton.ac.uk/courses/pharmacology-drug-discovery-degree-msci
Philosophy,BA,3 years,https://www.southampton.ac.uk/courses/philosophy-degree-ba
Philosophy and English,BA,3 years,https://www.southampton.ac.uk/courses/philosophy-english-degree-ba
Philosophy and English with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/philosophy-english-with-year-abroad-degree-ba
Philosophy and History,BA,3 years,https://www.southampton.ac.uk/courses/philosophy-history-degree-ba
Philosophy and History with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/philosophy-history-with-year-abroad-degree-ba
Philosophy and Politics,BA,3 years,https://www.southampton.ac.uk/courses/philosophy-politics-degree-ba
Philosophy and Politics with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/philosophy-politics-with-year-abroad-degree-ba
Philosophy with Year Abroad,BA,4 years,https://www.southampton.ac.uk/courses/philosophy-with-year-abroad-degree-ba
"Philosophy, Ethics and Religion",BA,3 years,https://www.southampton.ac.uk/courses/philosophy-ethics-religion-degree-ba
"Philosophy, Ethics and Religion with Year Abroad",BA,4 years,https://www.southampton.ac.uk/courses/philosophy-ethics-religion-with-year-abroad-degree-ba
